"Number of shapes (all)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	33.802313109	23.356751	60540719992.0	0.5583401240267166
20	66.057767781	44.55333	115482272716.0	0.5720165201758082
30	100.353237742	67.974349	176189577794.0	0.5695753346962016
40	125.542207078	84.102812	217994570492.0	0.5758960271104879
50	157.783608509	102.734224	266287207150.0	0.5925316886143924
60	180.395149553	116.164583	301098711642.0	0.5991229539616431
70	178.571958178	115.398089	299111959914.0	0.5970070813261449
80	219.208821165	137.418557	356189032124.0	0.6154283298894135
90	260.587716459	167.222056	433439730952.0	0.6012086522078846
100	237.43823631	147.547435	382443093590.0	0.620845925288291
