"Width [pixels]"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
200	0.301952037	0.20769	538332636.0	0.5609023432865029
400	1.207154798	0.827938	2146015258.0	0.5625098859385649
600	2.716567142	1.859147	4818910906.0	0.563730518158702
800	4.827937811	3.315045	8592599778.0	0.561871602976456
1000	7.543619383	5.187716	13446566278.0	0.5610071171360793
1200	10.864303562	7.419183	19230529530.0	0.5649508270196864
1400	14.785452125	10.255544	26582380550.0	0.5562124918492298
1600	19.311079065	13.180667	34164301970.0	0.5652414348157103
1800	24.439598039	16.677442	43227946200.0	0.5653656994465307
2000	30.172470434	20.584768	53355737456.0	0.5654962684918718
2200	36.510957363	24.991738	64778607822.0	0.5636267680115258
2400	43.451618484	29.65363	76862236552.0	0.5653181644617309
2600	50.993980121	34.805326	90215439636.0	0.5652467064035801
2800	59.141321175	40.360465	104614363940.0	0.5653269679957106
3000	67.891670144	46.287353	119976864314.0	0.565873016703586
3200	77.245391916	52.904617	137128818176.0	0.5633053135254055
3400	87.203674324	59.474064	154156829680.0	0.5656815497893807
3600	97.761839175	66.638336	172726632028.0	0.5659916946632308
3800	108.926047911	74.245892	192445422742.0	0.5660100737081734
4000	120.695039769	82.259162	213215827168.0	0.5660697959063812
