"Number of shapes (sphere)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	9.926467234	17.202905	44589944842.0	0.22261671928892135
20	18.823384602	33.888529	87839100760.0	0.21429391283763866
30	27.194403879	50.753644	131553492668.0	0.20671746015615258
40	35.65255051	65.590872	170011602884.0	0.20970657240568435
50	45.557342719	83.434211	216261553774.0	0.21065853788606748
60	51.430521175	94.098418	243903190760.0	0.21086448690869106
70	57.925083432	104.678586	271326996002.0	0.21348809475476235
80	66.299082267	120.749885	312983816706.0	0.2118291065805417
90	76.759872753	139.356186	361211366562.0	0.21250680310422784
100	83.529712056	152.061832	394144414798.0	0.2119266667746876
