"Number of shapes (torus)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	27.407161955	22.6608	58736815900.0	0.4666095962992097
20	55.02660757	44.625826	115670184146.0	0.47571989252256136
30	65.975643993	51.997348	134777176484.0	0.48951644272524336
40	89.944754268	68.498217	177547443614.0	0.5065956030521391
50	103.217565958	77.829431	201733959110.0	0.5116519123174412
60	133.389846089	103.395482	268001190632.0	0.4977210950982728
70	141.549398557	106.678503	276510783930.0	0.5119127599480312
80	161.916018577	121.415002	314707800148.0	0.5144963629781484
90	176.483428367	128.733388	333677065102.0	0.5289048808705258
100	187.075397503	137.544245	356514815346.0	0.5247338664493987
