"Number of shapes (cone)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	55.191451744	13.766415	35682560478.0	1.5467346234311903
20	101.881369418	25.336341	65671818888.0	1.551371214367514
30	155.046044651	38.580878	100001672132.0	1.550434521198232
40	209.188093854	51.788623	134236161258.0	1.5583587305654805
50	249.027578407	62.099633	160962309122.0	1.5471173330288874
60	302.377596132	75.891494	196710826290.0	1.5371680442550797
70	357.583146257	89.544146	232098512758.0	1.5406524669541415
80	382.893334036	95.925627	248639315244.0	1.5399549088214428
90	444.692556195	111.692381	289506757188.0	1.5360351534255394
100	464.668050392	117.218082	303829382532.0	1.5293716707700582
