"Number of shapes (octahedron)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	40.366116503	8.99824	23323448506.0	1.7307096115145983
20	79.130515399	17.874385	46330424012.0	1.7079600950447698
30	115.175056633	26.531228	68768969696.0	1.6748114322803247
40	159.160753368	37.337374	96778511006.0	1.6445877469444894
50	195.162789105	47.043661	121937213786.0	1.600518685358114
60	237.062908593	59.65396	154623121430.0	1.5331659741478032
70	273.125485663	69.593939	180387557618.0	1.514103795569912
80	296.229957391	78.857008	204397439410.0	1.4492840920418455
90	341.093907421	93.822399	243187748544.0	1.4025949475793014
100	378.435578096	105.987954	274720879250.0	1.377527544062707
