"Number of shapes (box)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	32.617410848	7.823918	20279602584.0	1.6083851107483813
20	65.15673408	15.473534	40107414492.0	1.6245558310171413
30	96.696681728	23.196792	60126106678.0	1.6082312171957258
40	135.496036034	32.721128	84813196470.0	1.5975819998946446
50	153.644809746	37.55314	97337775532.0	1.5784705260239786
60	177.051108223	43.307835	112253950798.0	1.5772372104889378
70	197.967534379	48.924104	126811325086.0	1.5611187269334486
80	252.879708635	62.469579	161921207570.0	1.5617454466282794
90	260.089938659	64.561044	167342289172.0	1.5542391582301762
100	316.955642334	79.356094	205691071068.0	1.5409304871051828
