"Number of shapes (all)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	33.911905595	23.515836	60953068020.0	0.5563609297545578
20	66.109040789	44.689236	115834542522.0	0.5707195742275597
30	100.462916732	68.117971	176561848178.0	0.5689956112756521
40	125.615068064	84.092855	217968763512.0	0.576298484425198
50	157.572919087	102.635095	266030266476.0	0.592311999586767
60	180.259399312	117.905638	305611527146.0	0.5898318070505388
70	178.291927131	115.318384	298905363142.0	0.5964828641977208
80	218.613552785	138.935602	360121215698.0	0.6070554670356627
90	306.146626554	186.341172	482996497472.0	0.633848543739694
100	237.644522898	147.807216	383116446160.0	0.6202931909604139
