"Number of shapes (box)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	39.903711246	23.627426	61242312516.0	0.6515709418316766
20	79.860823	46.4704	120451319662.0	0.663013267302496
30	118.515969876	67.547884	175084179536.0	0.6769085030417114
40	166.220804554	91.434346	236997911450.0	0.7013597864092064
50	188.477631709	100.062389	259361808702.0	0.7266977071614885
60	217.445058778	118.942104	308298047048.0	0.705307934513595
70	243.065162985	128.904528	334120662036.0	0.7274771979196271
80	310.306081268	166.29919	431047662370.0	0.7198880967405442
90	319.39258776	169.051201	438180877122.0	0.7289058113576086
100	388.974479692	195.299462	506216393272.0	0.768395660159896
