"Number of shapes (cone)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	55.359945867	31.462264	81550219918.0	0.6788448384647555
20	101.538853967	56.610292	146733933058.0	0.6919929961044826
30	154.431112383	84.643436	219395867716.0	0.7038925299308986
40	208.174221871	112.215115	290861687860.0	0.7157155120794052
50	247.151273587	135.03106	350000636494.0	0.7061452117994559
60	300.38404816	161.197436	417823909362.0	0.7189249859316911
70	354.297164921	194.43417	503973555942.0	0.7030074509738253
80	379.423733083	205.191036	531855360800.0	0.71339646273807
90	439.378922082	235.537581	610513636988.0	0.7196873181239624
100	456.308523236	249.105995	645682978010.0	0.7067067566847534
