"Number of shapes (octahedron)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	40.57716899	23.413371	60687478548.0	0.6686250600757123
20	79.153242123	45.088741	116870060828.0	0.6772756132940788
30	115.427698066	66.580912	172577788170.0	0.6688444630678453
40	159.421521454	91.698586	237682824104.0	0.6707321913351376
50	195.508916217	114.469409	296704817532.0	0.6589340808256816
60	237.412884641	141.010923	365500449452.0	0.6495556571734905
70	271.692613102	160.892725	417034100092.0	0.6514877633317351
80	296.609167212	177.996456	461366984754.0	0.6428920512596961
90	341.322353456	204.014484	528805736614.0	0.6454588704758079
100	378.885603394	229.524688	594928212422.0	0.6368593646812052
