"Width [pixels]"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
200	0.305031499	0.211095	547157938.0	0.5574834573632741
400	1.219544187	0.840801	2179357030.0	0.55958898437123
600	2.744038771	1.890744	4900811322.0	0.5599152039748736
800	4.876567226	3.354945	8696020054.0	0.560781506449824
1000	7.619383775	5.239424	13580590692.0	0.5610495116010231
1200	10.973731731	7.545677	19558403560.0	0.5610750231906965
1400	14.933985276	10.298073	26692615646.0	0.5594800252645125
1600	19.505927727	13.398571	34729110048.0	0.5616593025286382
1800	24.685754815	16.951905	43939352418.0	0.5618142611698425
2000	30.476084665	21.023934	54494058348.0	0.5592551846731473
2200	36.879219294	25.413425	65871622244.0	0.5598650532302503
2400	43.889958328	30.12744	78090351848.0	0.5620407296080595
2600	51.507902981	35.346807	91618957368.0	0.5621970000609318
2800	59.738072402	41.023878	106333931982.0	0.5617968910630743
3000	68.576818022	47.051335	121957106030.0	0.5623027657374136
3200	78.024346817	53.529549	138748642484.0	0.562343136625625
3400	88.084348045	60.950047	157982579968.0	0.5575573462773037
3600	98.749602021	67.74782	175602414378.0	0.56234763269503
3800	110.026364256	75.46604	195608049946.0	0.5624838256215637
4000	121.914017215	83.613576	216726468012.0	0.5625248191109251
