"Number of shapes (sphere)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	10.004399386	17.305854	44856789928.0	0.22302976655391843
20	18.90345266	34.241953	88755174826.0	0.21298423102719652
30	27.27799276	49.74137	128929680996.0	0.21157263827284495
40	35.738295816	65.724638	170358324236.0	0.2097830908837257
50	45.649146804	83.684067	216909181464.0	0.21045281023097817
60	51.525277146	94.349574	244554186360.0	0.21069063634899862
70	58.029558124	104.87248	271829568512.0	0.21347772592089542
80	66.396900656	120.829647	313190561624.0	0.21200160155436804
90	76.867550859	141.145688	365849757870.0	0.21010687913674633
100	83.629773923	152.148739	394369677568.0	0.21205934096842413
