"Number of shapes (torus)"	"GFlops"	"-Ofast - seconds"	"-Ofast - cycles"	"-Ofast - flops/cycle"
10	27.605853616	22.856319	59243602492.0	0.4659718932475076
20	55.26808981	44.855494	116265483654.0	0.475361113832158
30	66.268460473	52.381499	135772897610.0	0.4880831273362996
40	90.29479319	68.703059	178078395596.0	0.5070508013495838
50	103.581472906	78.225382	202760265730.0	0.5108568610968943
60	133.729550485	103.653519	268670022010.0	0.4977464530077812
70	141.88977085	107.281736	278074362226.0	0.5102583701502176
80	162.294727065	121.662439	315349159308.0	0.5146508949671482
90	176.876992202	129.032983	334453617194.0	0.5288535782209897
100	187.486608704	137.867601	357352954254.0	0.5246538652391772
