"Num Pixels" "Dimensions" "Seconds" "Cycles"
36864 256x144 0.58 1511159312
102240 426x240 1.40 3636063426
230400 640x360 3.27 8482762682
331776 768x432 4.82 12505365534
360000 800x450 5.24 13570954028
409440 853x480 5.97 15466655960
518400 960x540 7.38 19123306160
589824 1024x576 8.29 21486688680
921600 1280x720 13.08 33903940364
1048320 1365x768 14.99 38844782212
1440000 1600x900 20.41 52901557030
2073600 1920x1080 29.53 76546715240
2359296 2048x1152 33.85 87743339796
3686400 2560x1440 52.66 136487291336
4665600 2880x1620 66.38 172062643632
5760000 3200x1800 82.07 212736398994
8294400 3840x2160 118.49 307118659714
9437184 4096x2304 165.81 429772792804
14745600 5120x2880 286.28 742033779252
33177600 7680x4320 670.95 1739111536106
